CAINC30 Economic profile
CAINC30 Economic profile
County
GeoFips,GeoName,LineCode,Description,2021
37043,"Clay, NC",100,"  Population (persons) 3/",11309
37043,"Clay, NC",,Place of work profile (thousands of dollars),
37043,"Clay, NC",180,"  Earnings by place of work",127191
37043,"Clay, NC",190,"    Wages and salaries",87555
37043,"Clay, NC",240,Total employment (number of jobs),3983
37045,"Cleveland, NC",,Place of residence profile,
37045,"Cleveland, NC",10,Personal income (thousands of dollars),4570756
37045,"Cleveland, NC",100,"  Population (persons) 3/",100359
37045,"Cleveland, NC",,Place of work profile (thousands of dollars),
37045,"Cleveland, NC",180,"  Earnings by place of work",2399342
37045,"Cleveland, NC",190,"    Wages and salaries",1768232
37045,"Cleveland, NC",240,Total employment (number of jobs),47544
37047,"Columbus, NC",,Place of residence profile,
37047,"Columbus, NC",10,Personal income (thousands of dollars),2240563
37047,"Columbus, NC",100,"  Population (persons) 3/",50092
37047,"Columbus, NC",,Place of work profile (thousands of dollars),
37047,"Columbus, NC",180,"  Earnings by place of work",995481
37047,"Columbus, NC",190,"    Wages and salaries",706049
37047,"Columbus, NC",240,Total employment (number of jobs),22968
37049,"Craven, NC",,Place of residence profile,
37049,"Craven, NC",10,Personal income (thousands of dollars),5449986
37049,"Craven, NC",100,"  Population (persons) 3/",100674
37049,"Craven, NC",,Place of work profile (thousands of dollars),
37049,"Craven, NC",180,"  Earnings by place of work",3681579
37049,"Craven, NC",190,"    Wages and salaries",2571249
37049,"Craven, NC",240,Total employment (number of jobs),59808
37051,"Cumberland, NC",,Place of residence profile,
37051,"Cumberland, NC",10,Personal income (thousands of dollars),15766028
37051,"Cumberland, NC",100,"  Population (persons) 3/",335508
37051,"Cumberland, NC",,Place of work profile (thousands of dollars),
37051,"Cumberland, NC",180,"  Earnings by place of work",14330261
37051,"Cumberland, NC",190,"    Wages and salaries",10206476
37051,"Cumberland, NC",240,Total employment (number of jobs),212175
37053,"Currituck, NC",,Place of residence profile,
37053,"Currituck, NC",10,Personal income (thousands of dollars),1699699
37053,"Currituck, NC",100,"  Population (persons) 3/",29653
37053,"Currituck, NC",,Place of work profile (thousands of dollars),
37053,"Currituck, NC",180,"  Earnings by place of work",543890
37053,"Currituck, NC",190,"    Wages and salaries",333629
37053,"Currituck, NC",240,Total employment (number of jobs),11847
37055,"Dare, NC",,Place of residence profile,
37055,"Dare, NC",10,Personal income (thousands of dollars),2605731
37055,"Dare, NC",100,"  Population (persons) 3/",37826
37055,"Dare, NC",,Place of work profile (thousands of dollars),
37055,"Dare, NC",180,"  Earnings by place of work",1471066
37055,"Dare, NC",190,"    Wages and salaries",895378
37055,"Dare, NC",240,Total employment (number of jobs),30153
37057,"Davidson, NC",,Place of residence profile,
37057,"Davidson, NC",10,Personal income (thousands of dollars),8205191
37057,"Davidson, NC",100,"  Population (persons) 3/",170637
37057,"Davidson, NC",,Place of work profile (thousands of dollars),
37057,"Davidson, NC",180,"  Earnings by place of work",3350135
37057,"Davidson, NC",190,"    Wages and salaries",2383140
37057,"Davidson, NC",240,Total employment (number of jobs),67167
37059,"Davie, NC",,Place of residence profile,
37059,"Davie, NC",10,Personal income (thousands of dollars),2507108
37059,"Davie, NC",100,"  Population (persons) 3/",43533
37059,"Davie, NC",,Place of work profile (thousands of dollars),
37059,"Davie, NC",180,"  Earnings by place of work",938522
37059,"Davie, NC",190,"    Wages and salaries",664582
37059,"Davie, NC",240,Total employment (number of jobs),19829
37061,"Duplin, NC",,Place of residence profile,
37061,"Duplin, NC",10,Personal income (thousands of dollars),2521209
37061,"Duplin, NC",100,"  Population (persons) 3/",48515
37061,"Duplin, NC",,Place of work profile (thousands of dollars),
37061,"Duplin, NC",180,"  Earnings by place of work",1374350
37061,"Duplin, NC",190,"    Wages and salaries",818480
37061,"Duplin, NC",240,Total employment (number of jobs),24870
37063,"Durham, NC",,Place of residence profile,
37063,"Durham, NC",10,Personal income (thousands of dollars),19675335
37063,"Durham, NC",100,"  Population (persons) 3/",326126
37063,"Durham, NC",,Place of work profile (thousands of dollars),
37063,"Durham, NC",180,"  Earnings by place of work",25861994
37063,"Durham, NC",190,"    Wages and salaries",20597228
37063,"Durham, NC",240,Total employment (number of jobs),290934
37065,"Edgecombe, NC",,Place of residence profile,
37065,"Edgecombe, NC",10,Personal income (thousands of dollars),2179475
37065,"Edgecombe, NC",100,"  Population (persons) 3/",48359
37065,"Edgecombe, NC",,Place of work profile (thousands of dollars),
37065,"Edgecombe, NC",180,"  Earnings by place of work",1066733
37065,"Edgecombe, NC",190,"    Wages and salaries",774409
37065,"Edgecombe, NC",240,Total employment (number of jobs),21399
37067,"Forsyth, NC",,Place of residence profile,
37067,"Forsyth, NC",10,Personal income (thousands of dollars),21734957
37067,"Forsyth, NC",100,"  Population (persons) 3/",385523
37067,"Forsyth, NC",,Place of work profile (thousands of dollars),
